listing_id,city,neighbourhood,latitude,longitude,price,room_type,property_type,minimum_nights,number_of_reviews,review_scores_rating,host_id,high_demand
10001,Sydney,Uptown,49.25025839853556,35.71423693986779,880,Private room,Apartment,22,887,85,host_550,0
10002,London,Uptown,42.901306786948666,20.917203630072066,499,Private room,Apartment,18,792,55,host_1227,0
10003,Berlin,Historic District,37.518380991379345,-27.464838859082946,223,Entire home/apt,Loft,3,440,58,host_1501,1
10004,Sydney,Downtown,47.25955215898166,11.633480921430305,613,Entire home/apt,Loft,16,650,100,host_1660,0
10005,Paris,Financial District,41.536206442299324,-23.598425251467162,411,Hotel room,Townhouse,28,286,67,host_1664,1
10006,Toronto,Suburb,44.703294702144944,56.931117256491916,321,Private room,Condominium,7,487,69,host_640,0
10007,Berlin,Old Town,35.9307752231309,105.63315393161307,599,Entire home/apt,Loft,29,220,76,host_927,1
10008,Berlin,Old Town,45.36851181128786,92.39597013154605,229,Private room,Apartment,17,566,92,host_632,1
10009,Sydney,Suburb,40.723908801012236,-30.309583572701925,309,Private room,Loft,18,812,81,host_1807,1
10010,San Francisco,Financial District,40.0154154949329,16.090360808489265,965,Entire home/apt,Loft,21,831,50,host_1047,0
10011,Paris,Downtown,51.63848041800043,-121.06951767845021,866,Entire home/apt,Apartment,24,294,71,host_812,1
10012,Sydney,Old Town,41.78375156968445,115.32648828669764,615,Hotel room,Loft,27,988,94,host_596,1
10013,Paris,Chinatown,46.204690806083214,-56.5161478907159,515,Private room,Loft,10,635,62,host_131,0
10014,Paris,Old Town,45.29909564032914,-2.6998391107296555,171,Shared room,Condominium,27,859,76,host_1766,1
10015,Toronto,Historic District,35.877463915932836,-82.04862761978924,326,Entire home/apt,House,23,950,81,host_595,1
10016,Berlin,Downtown,47.46269566715769,62.4798574162742,54,Entire home/apt,Bed & Breakfast,26,509,84,host_982,0
10017,London,Uptown,39.81686566180438,25.956855589862187,466,Entire home/apt,Condominium,12,972,65,host_1265,1
10018,Toronto,Uptown,48.38091188554123,-23.682817103473937,461,Entire home/apt,Bed & Breakfast,29,951,61,host_303,1
10019,Toronto,Uptown,44.937534087076884,23.178252168627097,54,Entire home/apt,Condominium,4,61,50,host_1885,0
10020,Paris,Historic District,39.70764681916281,-77.59743843004361,201,Private room,Bed & Breakfast,15,532,98,host_621,0
10021,Tokyo,Downtown,40.41327328595928,89.30056884024015,115,Private room,Apartment,19,453,95,host_741,0
10022,Berlin,Uptown,47.16713265399449,-50.86123445229387,276,Private room,Townhouse,11,240,99,host_1615,0
10023,San Francisco,Financial District,43.90106767221187,45.13175672018323,459,Entire home/apt,Townhouse,4,341,94,host_838,1
10024,Toronto,Uptown,46.03031873208367,123.33501035601188,986,Entire home/apt,Apartment,15,45,100,host_804,1
10025,London,Downtown,36.84972977935339,-113.38895767739912,97,Private room,Apartment,14,711,89,host_1884,0
10026,Tokyo,Historic District,48.165580100111534,-17.42816568799674,816,Entire home/apt,Bed & Breakfast,28,787,81,host_936,0
10027,Tokyo,Chinatown,39.767043740470626,-86.8976160878253,49,Entire home/apt,Bed & Breakfast,25,990,50,host_1304,1
10028,San Francisco,Old Town,45.15750280883812,125.88087034769023,568,Hotel room,Townhouse,28,129,93,host_1938,1
10029,Toronto,Downtown,36.06423685435615,-24.978702762383335,436,Entire home/apt,Townhouse,7,230,68,host_679,0
10030,London,Downtown,39.7855643408254,-65.331245167276,580,Entire home/apt,Condominium,29,539,96,host_41,1
10031,Berlin,Suburb,45.679611275199555,62.03105831376175,204,Private room,Loft,19,300,64,host_1929,1
10032,New York,Uptown,38.93571038122451,25.378016542051313,139,Entire home/apt,Apartment,3,963,79,host_1897,1
